,Area,Months,Element,Year,Temperature,Date,DateInt
708,Romania,7,Temperature change,1990,0.26,1990-07-01,199007.0
710,Romania,8,Temperature change,1990,0.472,1990-08-01,199008.0
712,Romania,9,Temperature change,1990,-1.184,1990-09-01,199009.0
714,Romania,10,Temperature change,1990,0.725,1990-10-01,199010.0
716,Romania,11,Temperature change,1990,1.778,1990-11-01,199011.0
718,Romania,12,Temperature change,1990,0.423,1990-12-01,199012.0
720,Romania,1,Temperature change,1991,2.254,1991-01-01,199101.0
722,Romania,2,Temperature change,1991,-2.113,1991-02-01,199102.0
724,Romania,3,Temperature change,1991,1.616,1991-03-01,199103.0
726,Romania,4,Temperature change,1991,-0.738,1991-04-01,199104.0
728,Romania,5,Temperature change,1991,-2.267,1991-05-01,199105.0
730,Romania,6,Temperature change,1991,0.259,1991-06-01,199106.0
732,Romania,7,Temperature change,1991,0.952,1991-07-01,199107.0
734,Romania,8,Temperature change,1991,-0.386,1991-08-01,199108.0
736,Romania,9,Temperature change,1991,0.351,1991-09-01,199109.0
738,Romania,10,Temperature change,1991,0.014,1991-10-01,199110.0
740,Romania,11,Temperature change,1991,0.046,1991-11-01,199111.0
742,Romania,12,Temperature change,1991,-3.182,1991-12-01,199112.0
744,Romania,1,Temperature change,1992,1.022,1992-01-01,199201.0
746,Romania,2,Temperature change,1992,0.468,1992-02-01,199202.0
748,Romania,3,Temperature change,1992,1.304,1992-03-01,199203.0
750,Romania,4,Temperature change,1992,0.597,1992-04-01,199204.0
752,Romania,5,Temperature change,1992,-0.691,1992-05-01,199205.0
754,Romania,6,Temperature change,1992,0.188,1992-06-01,199206.0
756,Romania,7,Temperature change,1992,0.231,1992-07-01,199207.0
758,Romania,8,Temperature change,1992,3.806,1992-08-01,199208.0
760,Romania,9,Temperature change,1992,-0.498,1992-09-01,199209.0
762,Romania,10,Temperature change,1992,0.69,1992-10-01,199210.0
764,Romania,11,Temperature change,1992,0.404,1992-11-01,199211.0
766,Romania,12,Temperature change,1992,-1.726,1992-12-01,199212.0
768,Romania,1,Temperature change,1993,1.463,1993-01-01,199301.0
770,Romania,2,Temperature change,1993,-1.882,1993-02-01,199302.0
772,Romania,3,Temperature change,1993,-1.223,1993-03-01,199303.0
774,Romania,4,Temperature change,1993,-0.586,1993-04-01,199304.0
776,Romania,5,Temperature change,1993,1.488,1993-05-01,199305.0
778,Romania,6,Temperature change,1993,0.286,1993-06-01,199306.0
780,Romania,7,Temperature change,1993,-0.429,1993-07-01,199307.0
782,Romania,8,Temperature change,1993,0.823,1993-08-01,199308.0
784,Romania,9,Temperature change,1993,-0.418,1993-09-01,199309.0
786,Romania,10,Temperature change,1993,2.018,1993-10-01,199310.0
788,Romania,11,Temperature change,1993,-4.857,1993-11-01,199311.0
790,Romania,12,Temperature change,1993,1.915,1993-12-01,199312.0
792,Romania,1,Temperature change,1994,4.497,1994-01-01,199401.0
794,Romania,2,Temperature change,1994,1.457,1994-02-01,199402.0
796,Romania,3,Temperature change,1994,3.031,1994-03-01,199403.0
798,Romania,4,Temperature change,1994,1.617,1994-04-01,199404.0
800,Romania,5,Temperature change,1994,0.967,1994-05-01,199405.0
802,Romania,6,Temperature change,1994,0.069,1994-06-01,199406.0
804,Romania,7,Temperature change,1994,1.832,1994-07-01,199407.0
806,Romania,8,Temperature change,1994,1.615,1994-08-01,199408.0
808,Romania,9,Temperature change,1994,4.253,1994-09-01,199409.0
810,Romania,10,Temperature change,1994,-0.074,1994-10-01,199410.0
812,Romania,11,Temperature change,1994,-0.492,1994-11-01,199411.0
814,Romania,12,Temperature change,1994,0.079,1994-12-01,199412.0
816,Romania,1,Temperature change,1995,0.349,1995-01-01,199501.0
818,Romania,2,Temperature change,1995,4.982,1995-02-01,199502.0
820,Romania,3,Temperature change,1995,1.312,1995-03-01,199503.0
822,Romania,4,Temperature change,1995,-0.07,1995-04-01,199504.0
824,Romania,5,Temperature change,1995,-0.563,1995-05-01,199505.0
826,Romania,6,Temperature change,1995,0.831,1995-06-01,199506.0
828,Romania,7,Temperature change,1995,1.876,1995-07-01,199507.0
830,Romania,8,Temperature change,1995,0.157,1995-08-01,199508.0
832,Romania,9,Temperature change,1995,-0.66,1995-09-01,199509.0
834,Romania,10,Temperature change,1995,0.441,1995-10-01,199510.0
836,Romania,11,Temperature change,1995,-3.848,1995-11-01,199511.0
838,Romania,12,Temperature change,1995,-1.43,1995-12-01,199512.0
840,Romania,1,Temperature change,1996,-0.683,1996-01-01,199601.0
842,Romania,2,Temperature change,1996,-2.526,1996-02-01,199602.0
844,Romania,3,Temperature change,1996,-4.027,1996-03-01,199603.0
846,Romania,4,Temperature change,1996,-0.297,1996-04-01,199604.0
848,Romania,5,Temperature change,1996,2.692,1996-05-01,199605.0
850,Romania,6,Temperature change,1996,1.287,1996-06-01,199606.0
852,Romania,7,Temperature change,1996,-0.165,1996-07-01,199607.0
854,Romania,8,Temperature change,1996,0.276,1996-08-01,199608.0
856,Romania,9,Temperature change,1996,-2.77,1996-09-01,199609.0
858,Romania,10,Temperature change,1996,0.151,1996-10-01,199610.0
860,Romania,11,Temperature change,1996,2.4,1996-11-01,199611.0
862,Romania,12,Temperature change,1996,-0.701,1996-12-01,199612.0
864,Romania,1,Temperature change,1997,0.381,1997-01-01,199701.0
866,Romania,2,Temperature change,1997,1.505,1997-02-01,199702.0
868,Romania,3,Temperature change,1997,-0.045,1997-03-01,199703.0
870,Romania,4,Temperature change,1997,-3.536,1997-04-01,199704.0
872,Romania,5,Temperature change,1997,1.261,1997-05-01,199705.0
874,Romania,6,Temperature change,1997,0.602,1997-06-01,199706.0
876,Romania,7,Temperature change,1997,-0.325,1997-07-01,199707.0
878,Romania,8,Temperature change,1997,-0.611,1997-08-01,199708.0
880,Romania,9,Temperature change,1997,-1.594,1997-09-01,199709.0
882,Romania,10,Temperature change,1997,-2.259,1997-10-01,199710.0
884,Romania,11,Temperature change,1997,0.237,1997-11-01,199711.0
886,Romania,12,Temperature change,1997,0.597,1997-12-01,199712.0
888,Romania,1,Temperature change,1998,3.317,1998-01-01,199801.0
890,Romania,2,Temperature change,1998,3.365,1998-02-01,199802.0
892,Romania,3,Temperature change,1998,-0.92,1998-03-01,199803.0
894,Romania,4,Temperature change,1998,2.395,1998-04-01,199804.0
896,Romania,5,Temperature change,1998,-0.136,1998-05-01,199805.0
898,Romania,6,Temperature change,1998,1.354,1998-06-01,199806.0
900,Romania,7,Temperature change,1998,0.951,1998-07-01,199807.0
902,Romania,8,Temperature change,1998,1.05,1998-08-01,199808.0
904,Romania,9,Temperature change,1998,-0.715,1998-09-01,199809.0
906,Romania,10,Temperature change,1998,0.989,1998-10-01,199810.0
908,Romania,11,Temperature change,1998,-2.814,1998-11-01,199811.0
910,Romania,12,Temperature change,1998,-4.387,1998-12-01,199812.0
912,Romania,1,Temperature change,1999,2.357,1999-01-01,199901.0
914,Romania,2,Temperature change,1999,0.67,1999-02-01,199902.0
916,Romania,3,Temperature change,1999,1.935,1999-03-01,199903.0
918,Romania,4,Temperature change,1999,1.421,1999-04-01,199904.0
920,Romania,5,Temperature change,1999,-0.26,1999-05-01,199905.0
922,Romania,6,Temperature change,1999,1.817,1999-06-01,199906.0
924,Romania,7,Temperature change,1999,2.024,1999-07-01,199907.0
926,Romania,8,Temperature change,1999,0.968,1999-08-01,199908.0
928,Romania,9,Temperature change,1999,1.617,1999-09-01,199909.0
930,Romania,10,Temperature change,1999,0.457,1999-10-01,199910.0
932,Romania,11,Temperature change,1999,-1.272,1999-11-01,199911.0
934,Romania,12,Temperature change,1999,0.805,1999-12-01,199912.0
936,Romania,1,Temperature change,2000,-1.54,2000-01-01,200001.0
938,Romania,2,Temperature change,2000,2.204,2000-02-01,200002.0
940,Romania,3,Temperature change,2000,1.115,2000-03-01,200003.0
942,Romania,4,Temperature change,2000,3.19,2000-04-01,200004.0
944,Romania,5,Temperature change,2000,1.711,2000-05-01,200005.0
946,Romania,6,Temperature change,2000,1.111,2000-06-01,200006.0
948,Romania,7,Temperature change,2000,1.007,2000-07-01,200007.0
950,Romania,8,Temperature change,2000,2.103,2000-08-01,200008.0
952,Romania,9,Temperature change,2000,-0.495,2000-09-01,200009.0
954,Romania,10,Temperature change,2000,1.239,2000-10-01,200010.0
956,Romania,11,Temperature change,2000,3.479,2000-11-01,200011.0
958,Romania,12,Temperature change,2000,2.416,2000-12-01,200012.0
960,Romania,1,Temperature change,2001,3.564,2001-01-01,200101.0
962,Romania,2,Temperature change,2001,2.368,2001-02-01,200102.0
964,Romania,3,Temperature change,2001,4.101,2001-03-01,200103.0
966,Romania,4,Temperature change,2001,0.475,2001-04-01,200104.0
968,Romania,5,Temperature change,2001,0.757,2001-05-01,200105.0
970,Romania,6,Temperature change,2001,-0.853,2001-06-01,200106.0
972,Romania,7,Temperature change,2001,2.167,2001-07-01,200107.0
974,Romania,8,Temperature change,2001,2.41,2001-08-01,200108.0
976,Romania,9,Temperature change,2001,0.115,2001-09-01,200109.0
978,Romania,10,Temperature change,2001,2.353,2001-10-01,200110.0
980,Romania,11,Temperature change,2001,-1.628,2001-11-01,200111.0
982,Romania,12,Temperature change,2001,-5.084,2001-12-01,200112.0
984,Romania,1,Temperature change,2002,1.063,2002-01-01,200201.0
986,Romania,2,Temperature change,2002,5.825,2002-02-01,200202.0
988,Romania,3,Temperature change,2002,3.482,2002-03-01,200203.0
990,Romania,4,Temperature change,2002,0.022,2002-04-01,200204.0
992,Romania,5,Temperature change,2002,2.162,2002-05-01,200205.0
994,Romania,6,Temperature change,2002,1.503,2002-06-01,200206.0
996,Romania,7,Temperature change,2002,2.856,2002-07-01,200207.0
998,Romania,8,Temperature change,2002,0.615,2002-08-01,200208.0
1000,Romania,9,Temperature change,2002,-0.122,2002-09-01,200209.0
1002,Romania,10,Temperature change,2002,0.176,2002-10-01,200210.0
1004,Romania,11,Temperature change,2002,1.922,2002-11-01,200211.0
1006,Romania,12,Temperature change,2002,-3.285,2002-12-01,200212.0
1008,Romania,1,Temperature change,2003,0.872,2003-01-01,200301.0
1010,Romania,2,Temperature change,2003,-4.132,2003-02-01,200302.0
1012,Romania,3,Temperature change,2003,-0.979,2003-03-01,200303.0
1014,Romania,4,Temperature change,2003,-1.049,2003-04-01,200304.0
1016,Romania,5,Temperature change,2003,4.049,2003-05-01,200305.0
1018,Romania,6,Temperature change,2003,2.503,2003-06-01,200306.0
1020,Romania,7,Temperature change,2003,1.219,2003-07-01,200307.0
1022,Romania,8,Temperature change,2003,2.62,2003-08-01,200308.0
1024,Romania,9,Temperature change,2003,-0.269,2003-09-01,200309.0
1026,Romania,10,Temperature change,2003,-1.341,2003-10-01,200310.0
1028,Romania,11,Temperature change,2003,1.323,2003-11-01,200311.0
1030,Romania,12,Temperature change,2003,0.151,2003-12-01,200312.0
1032,Romania,1,Temperature change,2004,-0.729,2004-01-01,200401.0
1034,Romania,2,Temperature change,2004,1.078,2004-02-01,200402.0
1036,Romania,3,Temperature change,2004,1.762,2004-03-01,200403.0
1038,Romania,4,Temperature change,2004,1.046,2004-04-01,200404.0
1040,Romania,5,Temperature change,2004,-0.73,2004-05-01,200405.0
1042,Romania,6,Temperature change,2004,0.069,2004-06-01,200406.0
1044,Romania,7,Temperature change,2004,0.695,2004-07-01,200407.0
1046,Romania,8,Temperature change,2004,0.557,2004-08-01,200408.0
1048,Romania,9,Temperature change,2004,-0.086,2004-09-01,200409.0
1050,Romania,10,Temperature change,2004,1.868,2004-10-01,200410.0
1052,Romania,11,Temperature change,2004,0.772,2004-11-01,200411.0
1054,Romania,12,Temperature change,2004,1.557,2004-12-01,200412.0
1056,Romania,1,Temperature change,2005,2.754,2005-01-01,200501.0
1058,Romania,2,Temperature change,2005,-2.273,2005-02-01,200502.0
1060,Romania,3,Temperature change,2005,-1.097,2005-03-01,200503.0
1062,Romania,4,Temperature change,2005,0.389,2005-04-01,200504.0
1064,Romania,5,Temperature change,2005,1.109,2005-05-01,200505.0
1066,Romania,6,Temperature change,2005,-0.639,2005-06-01,200506.0
1068,Romania,7,Temperature change,2005,0.714,2005-07-01,200507.0
1070,Romania,8,Temperature change,2005,0.427,2005-08-01,200508.0
1072,Romania,9,Temperature change,2005,1.054,2005-09-01,200509.0
1074,Romania,10,Temperature change,2005,0.334,2005-10-01,200510.0
1076,Romania,11,Temperature change,2005,-0.981,2005-11-01,200511.0
1078,Romania,12,Temperature change,2005,0.857,2005-12-01,200512.0
1080,Romania,1,Temperature change,2006,-1.808,2006-01-01,200601.0
1082,Romania,2,Temperature change,2006,-0.819,2006-02-01,200602.0
1084,Romania,3,Temperature change,2006,0.156,2006-03-01,200603.0
1086,Romania,4,Temperature change,2006,1.402,2006-04-01,200604.0
1088,Romania,5,Temperature change,2006,0.311,2006-05-01,200605.0
1090,Romania,6,Temperature change,2006,0.275,2006-06-01,200606.0
1092,Romania,7,Temperature change,2006,1.328,2006-07-01,200607.0
1094,Romania,8,Temperature change,2006,0.649,2006-08-01,200608.0
1096,Romania,9,Temperature change,2006,0.994,2006-09-01,200609.0
1098,Romania,10,Temperature change,2006,1.73,2006-10-01,200610.0
1100,Romania,11,Temperature change,2006,0.912,2006-11-01,200611.0
1102,Romania,12,Temperature change,2006,1.973,2006-12-01,200612.0
1104,Romania,1,Temperature change,2007,6.631,2007-01-01,200701.0
1106,Romania,2,Temperature change,2007,3.524,2007-02-01,200702.0
1108,Romania,3,Temperature change,2007,3.405,2007-03-01,200703.0
1110,Romania,4,Temperature change,2007,0.842,2007-04-01,200704.0
1112,Romania,5,Temperature change,2007,2.664,2007-05-01,200705.0
1114,Romania,6,Temperature change,2007,2.755,2007-06-01,200706.0
1116,Romania,7,Temperature change,2007,3.146,2007-07-01,200707.0
1118,Romania,8,Temperature change,2007,2.352,2007-08-01,200708.0
1120,Romania,9,Temperature change,2007,-0.651,2007-09-01,200709.0
1122,Romania,10,Temperature change,2007,0.357,2007-10-01,200710.0
1124,Romania,11,Temperature change,2007,-1.947,2007-11-01,200711.0
1126,Romania,12,Temperature change,2007,-0.873,2007-12-01,200712.0
1128,Romania,1,Temperature change,2008,1.368,2008-01-01,200801.0
1130,Romania,2,Temperature change,2008,3.012,2008-02-01,200802.0
1132,Romania,3,Temperature change,2008,3.146,2008-03-01,200803.0
1134,Romania,4,Temperature change,2008,1.424,2008-04-01,200804.0
1136,Romania,5,Temperature change,2008,0.773,2008-05-01,200805.0
1138,Romania,6,Temperature change,2008,1.556,2008-06-01,200806.0
1140,Romania,7,Temperature change,2008,0.796,2008-07-01,200807.0
1142,Romania,8,Temperature change,2008,2.34,2008-08-01,200808.0
1144,Romania,9,Temperature change,2008,-0.613,2008-09-01,200809.0
1146,Romania,10,Temperature change,2008,1.7,2008-10-01,200810.0
1148,Romania,11,Temperature change,2008,0.954,2008-11-01,200811.0
1150,Romania,12,Temperature change,2008,1.976,2008-12-01,200812.0
1152,Romania,1,Temperature change,2009,1.514,2009-01-01,200901.0
1154,Romania,2,Temperature change,2009,1.606,2009-02-01,200902.0
1156,Romania,3,Temperature change,2009,1.078,2009-03-01,200903.0
1158,Romania,4,Temperature change,2009,2.117,2009-04-01,200904.0
1160,Romania,5,Temperature change,2009,1.356,2009-05-01,200905.0
1162,Romania,6,Temperature change,2009,1.106,2009-06-01,200906.0
1164,Romania,7,Temperature change,2009,1.909,2009-07-01,200907.0
1166,Romania,8,Temperature change,2009,1.601,2009-08-01,200908.0
1168,Romania,9,Temperature change,2009,1.68,2009-09-01,200909.0
1170,Romania,10,Temperature change,2009,0.918,2009-10-01,200910.0
1172,Romania,11,Temperature change,2009,1.988,2009-11-01,200911.0
1174,Romania,12,Temperature change,2009,0.822,2009-12-01,200912.0
1176,Romania,1,Temperature change,2010,-0.305,2010-01-01,201001.0
1178,Romania,2,Temperature change,2010,1.086,2010-02-01,201002.0
1180,Romania,3,Temperature change,2010,1.162,2010-03-01,201003.0
1182,Romania,4,Temperature change,2010,0.949,2010-04-01,201004.0
1184,Romania,5,Temperature change,2010,1.213,2010-05-01,201005.0
1186,Romania,6,Temperature change,2010,1.133,2010-06-01,201006.0
1188,Romania,7,Temperature change,2010,1.929,2010-07-01,201007.0
1190,Romania,8,Temperature change,2010,2.976,2010-08-01,201008.0
1192,Romania,9,Temperature change,2010,0.175,2010-09-01,201009.0
1194,Romania,10,Temperature change,2010,-2.149,2010-10-01,201010.0
1196,Romania,11,Temperature change,2010,4.476,2010-11-01,201011.0
1198,Romania,12,Temperature change,2010,-0.749,2010-12-01,201012.0
1200,Romania,1,Temperature change,2011,1.081,2011-01-01,201101.0
1202,Romania,2,Temperature change,2011,-0.809,2011-02-01,201102.0
1204,Romania,3,Temperature change,2011,0.865,2011-03-01,201103.0
1206,Romania,4,Temperature change,2011,0.418,2011-04-01,201104.0
1208,Romania,5,Temperature change,2011,0.612,2011-05-01,201105.0
1210,Romania,6,Temperature change,2011,1.159,2011-06-01,201106.0
1212,Romania,7,Temperature change,2011,1.381,2011-07-01,201107.0
1214,Romania,8,Temperature change,2011,1.652,2011-08-01,201108.0
1216,Romania,9,Temperature change,2011,3.21,2011-09-01,201109.0
1218,Romania,10,Temperature change,2011,-0.823,2011-10-01,201110.0
1220,Romania,11,Temperature change,2011,-2.541,2011-11-01,201111.0
1222,Romania,12,Temperature change,2011,2.107,2011-12-01,201112.0
1224,Romania,1,Temperature change,2012,1.134,2012-01-01,201201.0
1226,Romania,2,Temperature change,2012,-5.22,2012-02-01,201202.0
1228,Romania,3,Temperature change,2012,1.742,2012-03-01,201203.0
1230,Romania,4,Temperature change,2012,2.425,2012-04-01,201204.0
1232,Romania,5,Temperature change,2012,1.839,2012-05-01,201205.0
1234,Romania,6,Temperature change,2012,2.869,2012-06-01,201206.0
1236,Romania,7,Temperature change,2012,4.372,2012-07-01,201207.0
1238,Romania,8,Temperature change,2012,2.83,2012-08-01,201208.0
1240,Romania,9,Temperature change,2012,2.93,2012-09-01,201209.0
1242,Romania,10,Temperature change,2012,2.472,2012-10-01,201210.0
1244,Romania,11,Temperature change,2012,1.923,2012-11-01,201211.0
1246,Romania,12,Temperature change,2012,-1.588,2012-12-01,201212.0
1248,Romania,1,Temperature change,2013,1.764,2013-01-01,201301.0
1250,Romania,2,Temperature change,2013,2.789,2013-02-01,201302.0
1252,Romania,3,Temperature change,2013,0.066,2013-03-01,201303.0
1254,Romania,4,Temperature change,2013,2.365,2013-04-01,201304.0
1256,Romania,5,Temperature change,2013,2.64,2013-05-01,201305.0
1258,Romania,6,Temperature change,2013,1.452,2013-06-01,201306.0
1260,Romania,7,Temperature change,2013,1.02,2013-07-01,201307.0
1262,Romania,8,Temperature change,2013,2.347,2013-08-01,201308.0
1264,Romania,9,Temperature change,2013,-0.839,2013-09-01,201309.0
1266,Romania,10,Temperature change,2013,1.118,2013-10-01,201310.0
1268,Romania,11,Temperature change,2013,2.865,2013-11-01,201311.0
1270,Romania,12,Temperature change,2013,0.118,2013-12-01,201312.0
1272,Romania,1,Temperature change,2014,3.608,2014-01-01,201401.0
1274,Romania,2,Temperature change,2014,3.19,2014-02-01,201402.0
1276,Romania,3,Temperature change,2014,4.336,2014-03-01,201403.0
1278,Romania,4,Temperature change,2014,1.379,2014-04-01,201404.0
1280,Romania,5,Temperature change,2014,0.447,2014-05-01,201405.0
1282,Romania,6,Temperature change,2014,0.084,2014-06-01,201406.0
1284,Romania,7,Temperature change,2014,1.248,2014-07-01,201407.0
1286,Romania,8,Temperature change,2014,1.476,2014-08-01,201408.0
1288,Romania,9,Temperature change,2014,1.064,2014-09-01,201409.0
1290,Romania,10,Temperature change,2014,0.672,2014-10-01,201410.0
1292,Romania,11,Temperature change,2014,0.592,2014-11-01,201411.0
1294,Romania,12,Temperature change,2014,1.313,2014-12-01,201412.0
1296,Romania,1,Temperature change,2015,2.896,2015-01-01,201501.0
1298,Romania,2,Temperature change,2015,1.568,2015-02-01,201502.0
1300,Romania,3,Temperature change,2015,1.706,2015-03-01,201503.0
1302,Romania,4,Temperature change,2015,0.035,2015-04-01,201504.0
1304,Romania,5,Temperature change,2015,1.624,2015-05-01,201505.0
1306,Romania,6,Temperature change,2015,1.107,2015-06-01,201506.0
1308,Romania,7,Temperature change,2015,2.766,2015-07-01,201507.0
1310,Romania,8,Temperature change,2015,3.019,2015-08-01,201508.0
1312,Romania,9,Temperature change,2015,2.871,2015-09-01,201509.0
1314,Romania,10,Temperature change,2015,-0.023,2015-10-01,201510.0
1316,Romania,11,Temperature change,2015,2.287,2015-11-01,201511.0
1318,Romania,12,Temperature change,2015,2.728,2015-12-01,201512.0
1320,Romania,1,Temperature change,2016,0.546,2016-01-01,201601.0
1322,Romania,2,Temperature change,2016,6.388,2016-02-01,201602.0
1324,Romania,3,Temperature change,2016,2.814,2016-03-01,201603.0
1326,Romania,4,Temperature change,2016,3.148,2016-04-01,201604.0
1328,Romania,5,Temperature change,2016,0.174,2016-05-01,201605.0
1330,Romania,6,Temperature change,2016,2.283,2016-06-01,201606.0
1332,Romania,7,Temperature change,2016,1.941,2016-07-01,201607.0
1334,Romania,8,Temperature change,2016,1.504,2016-08-01,201608.0
1336,Romania,9,Temperature change,2016,2.086,2016-09-01,201609.0
1338,Romania,10,Temperature change,2016,-1.124,2016-10-01,201610.0
1340,Romania,11,Temperature change,2016,-0.429,2016-11-01,201611.0
1342,Romania,12,Temperature change,2016,-1.361,2016-12-01,201612.0
1344,Romania,1,Temperature change,2017,-2.68,2017-01-01,201701.0
1346,Romania,2,Temperature change,2017,2.201,2017-02-01,201702.0
1348,Romania,3,Temperature change,2017,4.436,2017-03-01,201703.0
1350,Romania,4,Temperature change,2017,0.01,2017-04-01,201704.0
1352,Romania,5,Temperature change,2017,0.828,2017-05-01,201705.0
1354,Romania,6,Temperature change,2017,2.211,2017-06-01,201706.0
1356,Romania,7,Temperature change,2017,1.553,2017-07-01,201707.0
1358,Romania,8,Temperature change,2017,3.041,2017-08-01,201708.0
1360,Romania,9,Temperature change,2017,1.498,2017-09-01,201709.0
1362,Romania,10,Temperature change,2017,0.821,2017-10-01,201710.0
1364,Romania,11,Temperature change,2017,0.881,2017-11-01,201711.0
1366,Romania,12,Temperature change,2017,2.674,2017-12-01,201712.0
1368,Romania,1,Temperature change,2018,3.59,2018-01-01,201801.0
1370,Romania,2,Temperature change,2018,0.826,2018-02-01,201802.0
1372,Romania,3,Temperature change,2018,-0.213,2018-03-01,201803.0
1374,Romania,4,Temperature change,2018,5.036,2018-04-01,201804.0
1376,Romania,5,Temperature change,2018,3.49,2018-05-01,201805.0
1378,Romania,6,Temperature change,2018,2.061,2018-06-01,201806.0
1380,Romania,7,Temperature change,2018,1.429,2018-07-01,201807.0
1382,Romania,8,Temperature change,2018,3.264,2018-08-01,201808.0
1384,Romania,9,Temperature change,2018,1.799,2018-09-01,201809.0
1386,Romania,10,Temperature change,2018,2.816,2018-10-01,201810.0
1388,Romania,11,Temperature change,2018,0.599,2018-11-01,201811.0
1390,Romania,12,Temperature change,2018,-0.1,2018-12-01,201812.0
1392,Romania,1,Temperature change,2019,1.186,2019-01-01,201901.0
1394,Romania,2,Temperature change,2019,3.258,2019-02-01,201902.0
1396,Romania,3,Temperature change,2019,3.932,2019-03-01,201903.0
1398,Romania,4,Temperature change,2019,1.254,2019-04-01,201904.0
1400,Romania,5,Temperature change,2019,0.421,2019-05-01,201905.0
1402,Romania,6,Temperature change,2019,3.712,2019-06-01,201906.0
1404,Romania,7,Temperature change,2019,1.167,2019-07-01,201907.0
1406,Romania,8,Temperature change,2019,2.972,2019-08-01,201908.0
1408,Romania,9,Temperature change,2019,1.903,2019-09-01,201909.0
1410,Romania,10,Temperature change,2019,2.708,2019-10-01,201910.0
1412,Romania,11,Temperature change,2019,4.379,2019-11-01,201911.0
1414,Romania,12,Temperature change,2019,3.057,2019-12-01,201912.0
